busca,titulo,empresa,local,publicado_ha,salario
analista de dados,Analista de Dados,RHF CAMPINAS/Mansões - SP,Indaiatuba,mais de 30 dias,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Processos Operacionais,Somma RH,Hortolândia,28 dia(s),R$ 8 mil - R$ 10 mil (fornecido pela empresa)
analista de dados,Analista de Dados PL,LEROY MERLIN BR,"São Paulo, São Paulo",4 dia(s),R$ 3 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Controles Internos Pleno,Conta Azul,Trabalho remoto,7 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Univali,"Itajaí, Santa Catarina",12 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Suporte Pleno,MAMTECH TECNOLOGIA,"Rio de Janeiro, Rio de Janeiro",24h,R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Engenharia de Dados Júnior,Serasa Experian,"São Carlos, São Paulo",24 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Suporte JR,Riachuelo,"São Paulo, São Paulo",3 dia(s),R$ 2 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS,ICCAP IMPLEMENTOS RODOVIARIOS LTDA,"Campo Grande, Mato Grosso do Sul",mais de 30 dias,R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados,YAPP,"Belo Horizonte, Minas Gerais",7 dia(s),R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Dados - Dados Mestres JR/PL,Meta,Curitiba,24h,R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Planejamento Jr (Dados),Magazine Luiza,"São Paulo, São Paulo",2 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Comunicação Estratégica,Alvarez and Marsal,Trabalho remoto,4 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Produtos Sr (Product Owner),Alelo,Barueri,28 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Engenharia de Dados Júnior,Serasa,"São Paulo, São Paulo",24 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados,GBIER- DISTRIBUIDORA DE BEBIDAS LTDA,"Recife, Pernambuco",mais de 30 dias,R$ 6 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS INFORMAÇÕES GERENCIAIS PLENO,Vik Tech and Services,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS OPERACIONAIS DE USINAS EÓLICAS - PRESTADOR(A) DE SERVIÇOS,Divulga Vagas Consultoria,Icapuí,3 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr,LOJA FERRAMENTAS KENNEDY REBOUÇAS,Curitiba,10 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Brivia,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Roteirização III,Fretadão,Trabalho remoto,17 dia(s),R$ 5 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,Analista Desenvolvedor Power BI Junior - 16629,Grupo Taking,Trabalho remoto,12 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de desenvolvimento de Sistemas,PREMIER LOGISTICS,Ipojuca,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Meio Ambiente II,M. Dias Branco,"Queimados, Rio de Janeiro",2 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de dados do Power Bi,CR REMOÇÃO,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Cadastro Pleno,Líber,Trabalho remoto,18 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Massa X,Suzano,27 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Redes e Comunicação de Dados JR,UNIMED OESTE DO PARÁ,"Santarém, Pará",13 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Data Viz Jr | Analista Digital Jr | Power BI | Remoto,Raízen,Trabalho remoto,mais de 30 dias,R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Dados Especialista,iFood,Osasco,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Sá Cavalcante,"Vila Velha, Espírito Santo",5 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados Pl. (Produtos),PagBank,"São Paulo, São Paulo",9 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados - Big Data Pleno,Segware,Trabalho remoto,mais de 30 dias,R$ 6 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,CAS | Analista de Monitoramento de TI I (Noturno) - Vaga preferencialmente para mulheres negras,Sicredi,Trabalho remoto,26 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,CAS | Analista de Dados - Foco em Recuperação de Crédito,Sicredi,Trabalho remoto,mais de 30 dias,R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr,Grupo Zelo,"Belo Horizonte, Minas Gerais",20 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados e processos,CENTRO UNIVERSITARIO FAMA,Anápolis,11 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,ANALISTA DE PROCESSOS JR,Albieri e Associados,Trabalho remoto,5 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr,Rodovitor Transportes,Guarulhos,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados III - Foco em Modelagem de Dados e Regras de Negócio,Grupo Easy,"São Paulo, São Paulo",2 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Ciência de Dados II,Lojas Renner,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados,GLASSES SANTANA COSTA,Curitiba,19 dia(s),R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Laboratório II de Microbiologia - Camaçari/BA,Grupo Boticário,"Camaçari, Bahia",14 dia(s),R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Avalon Broker,"São Paulo, São Paulo",21 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista Jr CRM,RD Saúde,"São Paulo, São Paulo",24 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista Pl de Operações Digitais,RD Saúde,"São Paulo, São Paulo",24h,R$ 7 mil (fornecido pela empresa)
analista de dados,Analista Sr Planejamento Corporativo,RD Saúde,"São Paulo, São Paulo",27 dia(s),R$ 2 mil - R$ 3 mil (fornecido pela empresa)
