busca,titulo,empresa,local,publicado_ha,salario,titulo_tratado,nivel,cidade,estado,remoto,dias_publicado,faixa_dias,regiao,salario_valor,faixa_salarial
data engineer,"Tech Lead, Customer Solutions",SunAlgo,,27 dia(s),Não informado,"tech lead, customer solutions",coordenador,,,0.0,27,16 a 30 dias,Desconhecido,,Não informado
data engineer,Python Developer,BRP,"Campinas, São Paulo",mais de 30 dias,Não informado,python developer,não informado,Campinas,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Estágio Logística/Projetos,Valeo,"Campinas, São Paulo",20 dia(s),Não informado,estagio logistica/projetos,estagio,Campinas,SP,0.0,20,16 a 30 dias,Sudeste,,Não informado
data engineer,Intern Surveyor | Estagiário Vistoria,American Bureau of Shipping (ABS),"Navegantes, Santa Catarina",27 dia(s),Não informado,intern surveyor | estagiario vistoria,não informado,Navegantes,SC,0.0,27,16 a 30 dias,Sul,,Não informado
data engineer,Senior IT Engineer,ADITEK DO BRASIL LTDA,Muriaé,mais de 30 dias,Não informado,senior it engineer,senior,Muriaé,MG,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Senior Scientist (LLM/NLP/Deep Learning),Uber,"São Paulo, São Paulo",5 dia(s),Não informado,senior scientist (llm/nlp/deep learning),senior,São Paulo,SP,0.0,5,1 a 5 dias,Sudeste,,Não informado
data engineer,Automotive Sales Area Manager - based in Brazil,Black Pearl,"Brasília, Distrito Federal",mais de 30 dias,Não informado,automotive sales area manager - based in brazil,não informado,Brasília,DF,0.0,31,mais de 30 dias,Centro-Oeste,,Não informado
data engineer,Senior React Engineer - Brazil,Housecall Pro,"São Paulo, São Paulo",mais de 30 dias,Não informado,senior react engineer - brazil,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Soft­ware Engin­eer (AI & Intel­li­gent Sys­tems) (m/f/d),synvert GmbH,Viseu,18 dia(s),Não informado,software engineer (ai & intelligent systems) (m/f/d),não informado,Viseu,PA,0.0,18,16 a 30 dias,Norte,,Não informado
data engineer,Geotechnical Engineer – Junior/Mid Level,Moffatt & Nichol,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado,geotechnical engineer  junior/mid level,junior,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Staff Software Development Engineer in Test,Netskope,"São Paulo, São Paulo",mais de 30 dias,Não informado,staff software development engineer in test,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Machine Learning Engineer,amaris,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado,machine learning engineer,não informado,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Staff Software Engineer,WEX Inc.,,mais de 30 dias,Não informado,staff software engineer,não informado,,,0.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,TÉCNICO (A) DA QUALIDADE JR - SÃO BERNARDO DO CAMPO,Otis,"São Paulo, São Paulo",mais de 30 dias,Não informado,tecnico (a) da qualidade jr - sao bernardo do campo,junior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,IT Support Specialist,Delinea,"São Paulo, São Paulo",mais de 30 dias,Não informado,it support specialist,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,3rd Engineer | Shuttle Tanker,OSM Thome,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado,3rd engineer | shuttle tanker,não informado,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Software Engineer - L3 Support,SUSE,"São Paulo, São Paulo",26 dia(s),Não informado,software engineer - l3 support,não informado,São Paulo,SP,0.0,26,16 a 30 dias,Sudeste,,Não informado
data engineer,Sr Staff Software Engineer - Backend,Blip,,30 dia(s),Não informado,sr staff software engineer - backend,senior,,,0.0,30,16 a 30 dias,Desconhecido,,Não informado
data engineer,Engenheiro de Verificação e Validação (V&V),ALSTOM,"São Paulo, São Paulo",18 dia(s),Não informado,engenheiro de verificacao e validacao (v&v),não informado,São Paulo,SP,0.0,18,16 a 30 dias,Sudeste,,Não informado
data engineer,Junior Support Analyst,Cognizant,"São Paulo, São Paulo",27 dia(s),Não informado,junior support analyst,junior,São Paulo,SP,0.0,27,16 a 30 dias,Sudeste,,Não informado
data engineer,Staff Software Engineer - Software Engineering (60000610),John Deere,Indaiatuba,12 dia(s),Não informado,staff software engineer - software engineering (60000610),não informado,Indaiatuba,SP,0.0,12,6 a 15 dias,Sudeste,,Não informado
data engineer,Sales Excellence - COE - Data Engineering Specialist,Accenture,"São Paulo, São Paulo",mais de 30 dias,Não informado,sales excellence - coe - data engineering specialist,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Senior Machine Learning Developer |LATAM| - Remote Work,BairesDev,"São Luís, Maranhão",mais de 30 dias,Não informado,senior machine learning developer |latam| - remote work,senior,São Luís,MA,0.0,31,mais de 30 dias,Nordeste,,Não informado
data engineer,ASP.NET Engineer / R + D - Remote Work,BairesDev,"Brasília, Distrito Federal",mais de 30 dias,Não informado,asp.net engineer / r + d - remote work,não informado,Brasília,DF,0.0,31,mais de 30 dias,Centro-Oeste,,Não informado
data engineer,"Software Developer Engineer II, Intech",Amazon Servicos de Varejo do Brasil Ltda.,"São Paulo, São Paulo",14 dia(s),Não informado,"software developer engineer ii, intech",não informado,São Paulo,SP,0.0,14,6 a 15 dias,Sudeste,,Não informado
data engineer,"Geologist Engineer, Intermediate",Ausenco,"Belo Horizonte, Minas Gerais",14 dia(s),Não informado,"geologist engineer, intermediate",não informado,Belo Horizonte,MG,0.0,14,6 a 15 dias,Sudeste,,Não informado
data engineer,Lead Integration Engineer,Mitra Innovation,"Colombo, Paraná",mais de 30 dias,Não informado,lead integration engineer,coordenador,Colombo,PR,0.0,31,mais de 30 dias,Sul,,Não informado
data engineer,Azure DevOps Engineer,Tiger Analytics,,mais de 30 dias,Não informado,azure devops engineer,não informado,,,0.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Applied Scientist II (Payments),Uber,"São Paulo, São Paulo",26 dia(s),Não informado,applied scientist ii (payments),pleno,São Paulo,SP,0.0,26,16 a 30 dias,Sudeste,,Não informado
data engineer,"IT Application Analyst II, Fintech Brazil",Amazon Servicos de Varejo do Brasil Ltda.,"São Paulo, São Paulo",mais de 30 dias,Não informado,"it application analyst ii, fintech brazil",pleno,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Mechanical Design Engineer,Siemens Energy,Santa Bárbara d'Oeste,mais de 30 dias,Não informado,mechanical design engineer,não informado,Santa Bárbara d'Oeste,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Senior Salesforce Software Engineer | Partners,Wellhub,"São Paulo, São Paulo",mais de 30 dias,Não informado,senior salesforce software engineer | partners,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Senior Machine Learning Engineer,Trustly,"Vitória, Espírito Santo",mais de 30 dias,Não informado,senior machine learning engineer,senior,Vitória,ES,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Principal Engineer,RecargaPay,Trabalho remoto,mais de 30 dias,Não informado,principal engineer,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Grupo QuintoAndar | Software Engineer III,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado,grupo quintoandar | software engineer iii,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,AEM Frontend Developer (LATAM),Blue Acorn iCi,Trabalho remoto,mais de 30 dias,Não informado,aem frontend developer (latam),não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Engineering Intern (Powertrain Calibration - Combustion and Electric),AVL South America,Guarulhos,27 dia(s),Não informado,engineering intern (powertrain calibration - combustion and electric),não informado,Guarulhos,SP,0.0,27,16 a 30 dias,Sudeste,,Não informado
data engineer,Junior Software Development Enginee/Desenvolvedor de Software II,Avalara,Trabalho remoto,mais de 30 dias,Não informado,junior software development enginee/desenvolvedor de software ii,junior,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,"Software Engineer, Integrations - Sao Paulo",Topsort,"São Paulo, São Paulo",mais de 30 dias,Não informado,"software engineer, integrations - sao paulo",não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Product Analyst – Engine Development & Validation,Stellantis,Betim,20 dia(s),Não informado,product analyst  engine development & validation,não informado,Betim,MG,0.0,20,16 a 30 dias,Sudeste,,Não informado
data engineer,Analista bi,Netvagas,"Brasília, Distrito Federal",9 dia(s),Não informado,analista bi,não informado,Brasília,DF,0.0,9,6 a 15 dias,Centro-Oeste,,Não informado
data engineer,"Pessoa Engenheira de Dados (Cosmos, Spark, Databricks)",MJV Technology & Innovation,"São Paulo, São Paulo",17 dia(s),Não informado,"pessoa engenheira de dados (cosmos, spark, databricks)",não informado,São Paulo,SP,0.0,17,16 a 30 dias,Sudeste,,Não informado
data engineer,Analista de Metodos e Processos Senior,Valeo,"Campinas, São Paulo",20 dia(s),Não informado,analista de metodos e processos senior,senior,Campinas,SP,0.0,20,16 a 30 dias,Sudeste,,Não informado
data engineer,Cybersecurity Analyst,Johnson & Johnson,"São José dos Campos, São Paulo",2 dia(s),Não informado,cybersecurity analyst,não informado,São José dos Campos,SP,0.0,2,1 a 5 dias,Sudeste,,Não informado
data engineer,Coordenador(a) de engenharia de dados,Netvagas,Trabalho remoto,8 dia(s),Não informado,coordenador(a) de engenharia de dados,coordenador,,,1.0,8,6 a 15 dias,Desconhecido,,Não informado
data engineer,QA Automation Engineer,Trading Technologies,"São Paulo, São Paulo",mais de 30 dias,Não informado,qa automation engineer,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Resource Manager,FieldCore,Trabalho remoto,mais de 30 dias,Não informado,resource manager,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Senior Sales Engineer,Armstrong Fluid Technology,Embu das Artes,11 dia(s),Não informado,senior sales engineer,senior,Embu das Artes,,0.0,11,6 a 15 dias,Desconhecido,,Não informado
data engineer,Grupo QuintoAndar | Data Engineering Manager,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado,grupo quintoandar | data engineering manager,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Algorithm Scientist- Well Integrity,Halliburton,"Rio de Janeiro, Rio de Janeiro",28 dia(s),Não informado,algorithm scientist- well integrity,não informado,Rio de Janeiro,RJ,0.0,28,16 a 30 dias,Sudeste,,Não informado
data engineer,Estágio em qualidade,Valeo,"Itatiba, São Paulo",14 dia(s),Não informado,estagio em qualidade,estagio,Itatiba,SP,0.0,14,6 a 15 dias,Sudeste,,Não informado
data engineer,MS - Fullstack Engineer (D365) - 146,Thaloz,Trabalho remoto,9 dia(s),Não informado,ms - fullstack engineer (d365) - 146,não informado,,,1.0,9,6 a 15 dias,Desconhecido,,Não informado
data engineer,Genesis Contact Center Analyst,Kyndryl,"São Paulo, São Paulo",13 dia(s),Não informado,genesis contact center analyst,não informado,São Paulo,SP,0.0,13,6 a 15 dias,Sudeste,,Não informado
data engineer,Software Engineer (Frontend - Vue/JS),azion,Porto Alegre,mais de 30 dias,Não informado,software engineer (frontend - vue/js),não informado,Porto Alegre,RS,0.0,31,mais de 30 dias,Sul,,Não informado
data engineer,TÉCNICO(A) DE SERVIÇOS I - RIO DE JANEIRO CENTRO,Otis,Brasil,24h,Não informado,tecnico(a) de servicos i - rio de janeiro centro,não informado,Brasil,,0.0,1,1 a 5 dias,Desconhecido,,Não informado
data engineer,Senior Analytics Engineer,Pantheon Inc.,Curitiba,mais de 30 dias,Não informado,senior analytics engineer,senior,Curitiba,PR,0.0,31,mais de 30 dias,Sul,,Não informado
data engineer,Pessoa Engenheira de Machine Learning Sênior,Serasa Experian,"São Paulo, São Paulo",mais de 30 dias,Não informado,pessoa engenheira de machine learning senior,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Import Logistics Coordinator,Hitachi,Guarulhos,mais de 30 dias,Não informado,import logistics coordinator,não informado,Guarulhos,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,"Engineering Manager, Continuity",Rad AI,"São Paulo, São Paulo",mais de 30 dias,Não informado,"engineering manager, continuity",não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Cientista de Dados II,Bunge,"São Paulo, São Paulo",7 dia(s),Não informado,cientista de dados ii,não informado,São Paulo,SP,0.0,7,6 a 15 dias,Sudeste,,Não informado
data engineer,Process Continuous Improvement,The Lisinski Law Firm,"Rio de Janeiro, Rio de Janeiro",7 dia(s),Não informado,process continuous improvement,não informado,Rio de Janeiro,RJ,0.0,7,6 a 15 dias,Sudeste,,Não informado
data engineer,Part-Time Web Development Tutor (Brazil),TripleTen,Trabalho remoto,mais de 30 dias,Não informado,part-time web development tutor (brazil),não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Senior software engineer,Netvagas,Trabalho remoto,10 dia(s),Não informado,senior software engineer,senior,,,1.0,10,6 a 15 dias,Desconhecido,,Não informado
data engineer,Senior Cloud Platform Engineer (AWS),"EPAM Systems, Inc.",Trabalho remoto,mais de 30 dias,Não informado,senior cloud platform engineer (aws),pleno,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,"Software Engineer II, Backend: Uber for Business",Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado,"software engineer ii, backend: uber for business",não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Grupo QuintoAndar | Staff Software Engineer,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado,grupo quintoandar | staff software engineer,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,CI - ACI Network Engineer - SSr. / 100% Remote / USD...,Bloom Talent Partners,Lauro de Freitas,mais de 30 dias,Não informado,ci - aci network engineer - ssr. / 100% remote / usd...,senior,Lauro de Freitas,BA,0.0,31,mais de 30 dias,Nordeste,,Não informado
data engineer,Backend Engineer (Compliance) ID35382,AgileEngine,Trabalho remoto,27 dia(s),Não informado,backend engineer (compliance) id35382,pleno,,,1.0,27,16 a 30 dias,Desconhecido,,Não informado
data engineer,Operational Technology Coordinator,Yinson,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado,operational technology coordinator,não informado,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Test Engineer (Food delivery platform),Sigma Software,"Brasília, Distrito Federal",mais de 30 dias,Não informado,test engineer (food delivery platform),pleno,Brasília,DF,0.0,31,mais de 30 dias,Centro-Oeste,,Não informado
data engineer,Documentation Associate PCD (Assistente de documentação PCD),HMH,Macaé,mais de 30 dias,Não informado,documentation associate pcd (assistente de documentacao pcd),não informado,Macaé,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,"Senior Backend Engineer, Node.js/Typescript",Deel,"São Paulo, São Paulo",25 dia(s),Não informado,"senior backend engineer, node.js/typescript",senior,São Paulo,SP,0.0,25,16 a 30 dias,Sudeste,,Não informado
data engineer,Salesforce Developer,Arixa Capital,"São Paulo, São Paulo",4 dia(s),Não informado,salesforce developer,não informado,São Paulo,SP,0.0,4,1 a 5 dias,Sudeste,,Não informado
data engineer,Internship - Financial Planning & Analysis (FP&A) - São Paulo/ SP,Dennis Group Brasil,"São Paulo, São Paulo",mais de 30 dias,Não informado,internship - financial planning & analysis (fp&a) - sao paulo/ sp,pleno,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,SOFTWARE ENGINEER,RH Mosaico,Bauru,18 dia(s),Não informado,software engineer,não informado,Bauru,SP,0.0,18,16 a 30 dias,Sudeste,,Não informado
data engineer,Senior Survey Specialist,McDermott,"Rio de Janeiro, Rio de Janeiro",16 dia(s),Não informado,senior survey specialist,senior,Rio de Janeiro,RJ,0.0,16,16 a 30 dias,Sudeste,,Não informado
data engineer,Machine Learning Engineer,Mindera,Blumenau,mais de 30 dias,Não informado,machine learning engineer,não informado,Blumenau,SC,0.0,31,mais de 30 dias,Sul,,Não informado
data engineer,Senior Backend Engineer - Predict,Sword Health,Trabalho remoto,mais de 30 dias,Não informado,senior backend engineer - predict,senior,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Remote Landscape Architect with US Experience,Uptalent.io,Trabalho remoto,mais de 30 dias,Não informado,remote landscape architect with us experience,não informado,,,1.0,31,mais de 30 dias,Desconhecido,,Não informado
data engineer,Virtual Sales,Danfoss,Osasco,12 dia(s),Não informado,virtual sales,não informado,Osasco,SP,0.0,12,6 a 15 dias,Sudeste,,Não informado
data engineer,Senior Software Engineer,IQVIA,"São Paulo, São Paulo",25 dia(s),Não informado,senior software engineer,senior,São Paulo,SP,0.0,25,16 a 30 dias,Sudeste,,Não informado
data engineer,Mid-Level Software Engineer - SAP ABAP - Indaiatuba/SP,John Deere,Indaiatuba,3 dia(s),Não informado,mid-level software engineer - sap abap - indaiatuba/sp,não informado,Indaiatuba,SP,0.0,3,1 a 5 dias,Sudeste,,Não informado
data engineer,Lead Cloud Engineer (AWS + GCP),"EPAM Systems, Inc.",Trabalho remoto,24h,Não informado,lead cloud engineer (aws + gcp),coordenador,,,1.0,1,1 a 5 dias,Desconhecido,,Não informado
data engineer,"Software Dev Engineer, Game-Based Learning",Amazon,"São Paulo, São Paulo",25 dia(s),Não informado,"software dev engineer, game-based learning",não informado,São Paulo,SP,0.0,25,16 a 30 dias,Sudeste,,Não informado
data engineer,Analista Cientista de Dados Sr. (Crédito e Cobrança),PagBank,"São Paulo, São Paulo",2 dia(s),Não informado,analista cientista de dados sr. (credito e cobranca),senior,São Paulo,SP,0.0,2,1 a 5 dias,Sudeste,,Não informado
data engineer,1683 SYSTEM VERIFICATION ENGINEER EXPERIENCED (21498),A PRIORI EXCELÊNCIA EM RECURSOS HUMANOS,Curitiba,mais de 30 dias,Não informado,1683 system verification engineer experienced (21498),não informado,Curitiba,PR,0.0,31,mais de 30 dias,Sul,,Não informado
data engineer,"Sr. Staff Engineer, Browser Technology",Netskope,"São Paulo, São Paulo",mais de 30 dias,Não informado,"sr. staff engineer, browser technology",senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Engenheiro de Dados SR - RJ,Dadoteca,"Rio de Janeiro, Rio de Janeiro",5 dia(s),Não informado,engenheiro de dados sr - rj,senior,Rio de Janeiro,RJ,0.0,5,1 a 5 dias,Sudeste,,Não informado
data engineer,Senior .NET Engineer - Remote Work,BairesDev,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado,senior .net engineer - remote work,senior,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Machine learning engineer,Netvagas,"São Paulo, São Paulo",5 dia(s),Não informado,machine learning engineer,não informado,São Paulo,SP,0.0,5,1 a 5 dias,Sudeste,,Não informado
data engineer,Consultor Sistemas | B.I,HLB Brasil - Advisory and Accounting,"São Paulo, São Paulo",26 dia(s),Não informado,consultor sistemas | b.i,não informado,São Paulo,SP,0.0,26,16 a 30 dias,Sudeste,,Não informado
data engineer,Ger Engenheiro de Dados,Bunge,"São Paulo, São Paulo",6 dia(s),Não informado,ger engenheiro de dados,não informado,São Paulo,SP,0.0,6,6 a 15 dias,Sudeste,,Não informado
data engineer,Senior Solidity Engineer / Smart Contract Engineer,Chainlink Labs,"São Paulo, São Paulo",mais de 30 dias,Não informado,senior solidity engineer / smart contract engineer,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,,Não informado
data engineer,Sr. Database Engineer,RecargaPay,Trabalho remoto,28 dia(s),Não informado,sr. database engineer,senior,,,1.0,28,16 a 30 dias,Desconhecido,,Não informado
analista de BI,Analista de Administração Logística - Hidrolândia,RD Saúde - Centro de Distribuição,"Hidrolândia, Goiás",16 dia(s),R$ 3 mil (fornecido pela empresa),analista de administracao logistica - hidrolandia,não informado,Hidrolândia,GO,0.0,16,16 a 30 dias,Centro-Oeste,3000.0,1k a 5k
analista de BI,Analista Pl de Planejamento e Inteligência de Transportes B2C,RD Saúde,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil - R$ 6 mil (fornecido pela empresa),analista pl de planejamento e inteligencia de transportes b2c,pleno,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,5500.0,5k a 10k
analista de BI,Analista Jr Abastecimento,RD Saúde,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil - R$ 6 mil (fornecido pela empresa),analista jr abastecimento,junior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,4000.0,1k a 5k
analista de BI,Analista de Processos Administrativo - PCD,APVS Brasil,"Belo Horizonte, Minas Gerais",mais de 30 dias,R$ 7 mil (fornecido pela empresa),analista de processos administrativo - pcd,não informado,Belo Horizonte,MG,0.0,31,mais de 30 dias,Sudeste,7000.0,5k a 10k
analista de BI,Analista Sr Prevenção de Perdas,RD Saúde,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil - R$ 8 mil (fornecido pela empresa),analista sr prevencao de perdas,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,6000.0,5k a 10k
analista de BI,Analista Sr Planejamento Corporativo,RD Saúde,"São Paulo, São Paulo",27 dia(s),R$ 5 mil (fornecido pela empresa),analista sr planejamento corporativo,pleno,São Paulo,SP,0.0,27,16 a 30 dias,Sudeste,5000.0,1k a 5k
analista de BI,Analista de BI – Operações e Logística,TRANSPORTES BERTOLINI,Trabalho remoto,mais de 30 dias,R$ 6 mil (fornecido pela empresa),analista de bi  operacoes e logistica,não informado,,,1.0,31,mais de 30 dias,Desconhecido,6000.0,5k a 10k
analista de BI,Analista de Powe BI Jr,TOPMIND,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa),analista de powe bi jr,junior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,4500.0,1k a 5k
analista de BI,Data Viz Jr | Analista Digital Jr | Power BI | Remoto,Raízen,Trabalho remoto,mais de 30 dias,R$ 7 mil (fornecido pela empresa),data viz jr | analista digital jr | power bi | remoto,junior,,,1.0,31,mais de 30 dias,Desconhecido,7000.0,5k a 10k
analista de BI,Analista de BI,Log Lab,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa),analista de bi,não informado,,,1.0,31,mais de 30 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista Desenvolvedor Power BI Junior - 16629,Grupo Taking,Trabalho remoto,12 dia(s),R$ 2 mil (fornecido pela empresa),analista desenvolvedor power bi junior - 16629,junior,,,1.0,12,6 a 15 dias,Desconhecido,2000.0,1k a 5k
analista de BI,Analista de Dados – Excel & Power BI,Four Prime,Ribeirão Preto,25 dia(s),R$ 8 mil (fornecido pela empresa),analista de dados  excel & power bi,não informado,Ribeirão Preto,SP,0.0,25,16 a 30 dias,Sudeste,8000.0,5k a 10k
analista de BI,Analista de BI Pleno,Unicred,Trabalho remoto,23 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa),analista de bi pleno,pleno,,,1.0,23,16 a 30 dias,Desconhecido,3500.0,1k a 5k
analista de BI,Analista de BI Pleno - Business Intelligence,Mycon,Trabalho remoto,5 dia(s),R$ 3 mil - R$ 5 mil (fornecido pela empresa),analista de bi pleno - business intelligence,pleno,,,1.0,5,1 a 5 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista de Dados Jr,+A Educação,Trabalho remoto,30 dia(s),R$ 6 mil (fornecido pela empresa),analista de dados jr,junior,,,1.0,30,16 a 30 dias,Desconhecido,6000.0,5k a 10k
analista de BI,Analista de BI - Business Intelligence,GRUPO SOUZA LIMA,"São Paulo, São Paulo",20 dia(s),R$ 2 mil (fornecido pela empresa),analista de bi - business intelligence,não informado,São Paulo,SP,0.0,20,16 a 30 dias,Sudeste,2000.0,1k a 5k
analista de BI,Analista de Business Intelligence -Power BI,Kinix Solutions,"São José dos Campos, São Paulo",4 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa),analista de business intelligence -power bi,não informado,São José dos Campos,SP,0.0,4,1 a 5 dias,Sudeste,4500.0,1k a 5k
analista de BI,CAS | Analista de Prevenção a Fraudes Pleno - Foco em Operações e Processos,Sicredi,Trabalho remoto,5 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa),cas | analista de prevencao a fraudes pleno - foco em operacoes e processos,pleno,,,1.0,5,1 a 5 dias,Desconhecido,4500.0,1k a 5k
analista de BI,PESSOA ANALISTA DE BI JUNIOR,Suno United Creators,"São Paulo, São Paulo",18 dia(s),R$ 20 mil (fornecido pela empresa),pessoa analista de bi junior,junior,São Paulo,SP,0.0,18,16 a 30 dias,Sudeste,20000.0,Acima de 15k
analista de BI,ANALISTA DE POWER BI JR,OMNILINK,Barueri,24 dia(s),R$ 5 mil (fornecido pela empresa),analista de power bi jr,junior,Barueri,SP,0.0,24,16 a 30 dias,Sudeste,5000.0,1k a 5k
analista de BI,CAS | Analista de Dados PL (Dados de Canais),Sicredi,Trabalho remoto,9 dia(s),R$ 3 mil - R$ 5 mil (fornecido pela empresa),cas | analista de dados pl (dados de canais),pleno,,,1.0,9,6 a 15 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista de Dados - Power BI,Target Sistemas,"São Paulo, São Paulo",11 dia(s),R$ 9 mil (fornecido pela empresa),analista de dados - power bi,não informado,São Paulo,SP,0.0,11,6 a 15 dias,Sudeste,9000.0,5k a 10k
analista de BI,Analista de BI - PL - OpusMultipla,OpusMúltipla,Trabalho remoto,12 dia(s),R$ 4 mil (fornecido pela empresa),analista de bi - pl - opusmultipla,pleno,,,1.0,12,6 a 15 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista de Dados,Spassu Tecnologia,Trabalho remoto,20 dia(s),R$ 4 mil (fornecido pela empresa),analista de dados,não informado,,,1.0,20,16 a 30 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista de BI Pleno - POWER BI,Montreal | Tecnologia e Inovação,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa),analista de bi pleno - power bi,pleno,,,1.0,31,mais de 30 dias,Desconhecido,4000.0,1k a 5k
analista de BI,Analista de Dados Jr.,Nomos - Melhores Investidores,Trabalho remoto,mais de 30 dias,R$ 7 mil (fornecido pela empresa),analista de dados jr.,junior,,,1.0,31,mais de 30 dias,Desconhecido,7000.0,5k a 10k
analista de BI,Analista de Dados - BI,EGE SOLUCOES LTDA,Jundiaí,mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa),analista de dados - bi,não informado,Jundiaí,SP,0.0,31,mais de 30 dias,Sudeste,3500.0,1k a 5k
analista de BI,Analista de Suporte - BI,Aliare,"Cascavel, Paraná",5 dia(s),R$ 4 mil (fornecido pela empresa),analista de suporte - bi,não informado,Cascavel,PR,0.0,5,1 a 5 dias,Sul,4000.0,1k a 5k
analista de BI,Analista de Dados Jr,Smart NX,Trabalho remoto,mais de 30 dias,R$ 3 mil - R$ 7 mil (fornecido pela empresa),analista de dados jr,junior,,,1.0,31,mais de 30 dias,Desconhecido,5000.0,1k a 5k
analista de BI,Analista de BI JR/PL,Publicis Groupe,"São Paulo, São Paulo",20 dia(s),R$ 3 mil (fornecido pela empresa),analista de bi jr/pl,junior,São Paulo,SP,0.0,20,16 a 30 dias,Sudeste,3000.0,1k a 5k
