busca,titulo,empresa,local,publicado_ha,salario,titulo_tratado,nivel,cidade,estado,remoto,dias_publicado,faixa_dias,regiao,salario_valor,faixa_salarial
especialista em dados,Especialista em Meios de Pagamento - Cash Management (Belém - PA),Itaú Unibanco,"Belém, Pará",24h,R$ 2 mil - R$ 3 mil (fornecido pela empresa),especialista em meios de pagamento - cash management (belem - pa),especialista,Belém,PA,0.0,1,1 a 5 dias,Norte,2500.0,1k a 5k
especialista em dados,Especialista em Dados - Python (100% remoto),IPmedia,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,R$ 2 mil (fornecido pela empresa),especialista em dados - python (100% remoto),especialista,Rio de Janeiro,RJ,0.0,31,mais de 30 dias,Sudeste,2000.0,1k a 5k
especialista em dados,Especialista em FP&A,Vena Conecta,Goiânia,3 dia(s),R$ 2 mil (fornecido pela empresa),especialista em fp&a,especialista,Goiânia,GO,0.0,3,1 a 5 dias,Centro-Oeste,2000.0,1k a 5k
especialista em dados,Especialista de Dados II,Meta,Trabalho remoto,mais de 30 dias,R$ 1 mil (fornecido pela empresa),especialista de dados ii,especialista,,,1.0,31,mais de 30 dias,Desconhecido,1000.0,1k a 5k
especialista em dados,Especialista em Educação Socioambiental e Patrimonial,COBRAPE,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil (fornecido pela empresa),especialista em educacao socioambiental e patrimonial,especialista,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,5000.0,1k a 5k
especialista em dados,9423581 - AUXILIAR ADMINISTRATIVO DE TI,Quality Digital,Trabalho remoto,3 dia(s),R$ 2 mil (fornecido pela empresa),9423581 - auxiliar administrativo de ti,não informado,,,1.0,3,1 a 5 dias,Desconhecido,2000.0,1k a 5k
especialista em dados,Especialista em Mecânica - Ouro Branco/MG,Bureau Veritas,"Ouro Branco, Minas Gerais",28 dia(s),R$ 3 mil (fornecido pela empresa),especialista em mecanica - ouro branco/mg,especialista,Ouro Branco,MG,0.0,28,16 a 30 dias,Sudeste,3000.0,1k a 5k
especialista em dados,"[Job-22503] Especialista em Dados e Inteligência Artificial Generativa, Brasil",CI&T,Trabalho remoto,13 dia(s),R$ 10 mil (fornecido pela empresa),"[job-22503] especialista em dados e inteligencia artificial generativa, brasil",especialista,,,1.0,13,6 a 15 dias,Desconhecido,10000.0,5k a 10k
especialista em dados,Especialista em Gestão de Terceiros,Farmax,Trabalho remoto,3 dia(s),R$ 8 mil (fornecido pela empresa),especialista em gestao de terceiros,especialista,,,1.0,3,1 a 5 dias,Desconhecido,8000.0,5k a 10k
especialista em dados,Especialista Marketing Analytics - Foco em Power BI,Nestlé,Ribeirão Preto,5 dia(s),R$ 5 mil - R$ 7 mil (fornecido pela empresa),especialista marketing analytics - foco em power bi,especialista,Ribeirão Preto,SP,0.0,5,1 a 5 dias,Sudeste,6000.0,5k a 10k
especialista em dados,Especialista em Migração de Dados | SAP,Octafy,Trabalho remoto,7 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa),especialista em migracao de dados | sap,especialista,,,1.0,7,6 a 15 dias,Desconhecido,3500.0,1k a 5k
especialista em dados,Especialista em IA Generativa,"Minerva Foods Tecnologia – Inovação que conecta, tecnologia que transforma.",Trabalho remoto,9 dia(s),R$ 6 mil - R$ 10 mil (fornecido pela empresa),especialista em ia generativa,especialista,,,1.0,9,6 a 15 dias,Desconhecido,8000.0,5k a 10k
especialista em dados,Especialista em Automação e Agentes de IA,Clicksign,Trabalho remoto,6 dia(s),R$ 12 mil - R$ 15 mil (fornecido pela empresa),especialista em automacao e agentes de ia,especialista,,,1.0,6,6 a 15 dias,Desconhecido,13500.0,10k a 15k
